ProteinGroup,F06,F01,F07,F08
16fe7995-6fd5-450b-9b2d-ad04a35fc9d4,168,316,338,52
9048b059-c587-4882-9902-9d21a0bccac7,82,344,140,308
e653e723-c394-4858-a5ef-cd36573e7c54,150,294,318,110
d4595028-83ef-4559-980e-81d435ebc93b,250,92,392,138
a60f4aef-5cea-4e4a-8157-a4f26da9801a,200,110,466,96
4a6b70f2-3b73-44e2-b730-67242c7f4a0e,158,330,322,62
53d47639-f192-45fe-a8a0-9fb0709db2d3,72,368,156,276
b7f63d18-3b02-4ebb-883b-fa888bb9fa0a,146,340,326,58
b5ce9dda-5a07-4318-abc3-9a5681e21f1e,234,176,404,54
8511e203-6a6f-47f0-a2c5-f725ebf9cb1f,184,176,416,90
8fd0d5f3-8dc5-4868-952a-4e9bea1af0bb,220,148,356,142
edf23eaf-8441-42d8-a846-a66aa442279b,126,432,238,70
6bd691b7-4bb9-4d42-a7ae-12621fafa590,98,474,208,84
e09738e4-639a-483b-949f-ca0ec51cc297,230,160,420,54
f041110b-2ab1-4f74-ad92-910fc62dfd30,162,236,358,106
513f6e49-e0cb-468d-999f-cd0ab291657b,94,260,200,308
8e4d1639-878f-414d-92d5-e56c2e6f860f,126,288,398,50
581f12f6-32f5-4cf0-8033-8b9e1f48d60e,178,204,344,132
d8d4df40-7d4d-470b-8eff-790679ee30e0,174,242,354,88
515fc52e-225c-4951-bae1-1983ab7299f9,186,190,354,126
2915f01d-040b-476f-9d3a-cd08554be070,124,348,268,116
0175bc8d-3899-4892-991d-fc15a29bfa82,192,128,410,120
57108886-4c28-4f14-9f5a-c3043b98da87,158,290,312,90
3487cc21-4298-4be2-8a81-c3fe5f849ed4,204,202,366,76
aebd71b7-6805-4cb7-8f71-7c857c6a88a3,144,312,290,100
50355506-4a66-41df-bf9a-27aec254d9bf,232,176,398,38
b50daecb-6ad4-461b-98bc-ab4bd82a7934,192,242,336,72
aaf73589-0808-4f6b-9da2-a66f51a50c35,146,278,322,96
77f5f8e9-6d6f-420b-9f79-2e820a1d507d,104,438,230,70
374359fe-5ec4-4b81-b18a-40ca2b076038,184,196,336,124
e6db6516-42c0-4f5a-83de-edf4dea1c490,146,244,352,98
057ee199-5e3f-4585-92b0-517c8508f670,124,396,250,68
d3faa05a-a68b-43da-ae14-99f6172ecdfd,122,454,182,76
f9f7bbc4-2abd-4747-a592-d4491cdf2bfc,154,254,322,104
6928ff7a-18f0-4655-97c3-e5b52c9d0066,186,338,288,18
75b51a53-5fbd-4663-9de9-ca04a15330bf,198,322,296,14
ecdd6e28-a7b9-4f48-9acb-ea29b6111e60,186,322,294,28
317816da-0492-4161-9806-17312979ef86,168,204,324,130
cab967d7-fd96-4d4d-95ab-5b95ec6a61c4,208,194,338,86
76d83ec4-bbaa-4149-9665-a815a79ab46b,110,348,230,138
d83ea743-e426-407c-8793-a20c67052898,160,128,494,40
01be7fbd-a6d9-4057-b7ac-fec4945fe335,204,186,370,62
81b0ef83-9425-401f-afd1-d85c75a7679c,132,352,274,64
33743d40-97c3-4d4f-bd16-1ea71f348a03,206,238,306,70
5b3ed519-94d1-4c4b-97f0-2b45cc995476,152,216,342,110
6ba2b8a8-6076-4b34-98cb-d656f8a48c73,200,118,338,164
72fa40c1-eeea-4b85-8139-778a9aa4bc4b,118,366,218,118
86111008-9dcd-4331-a454-c707f0b3ddef,180,204,348,86
6e4c15aa-e9ce-4343-ab8c-cd53739aee25,138,312,260,108
66c5c263-f67e-45ed-b9e5-70ab8ed7e5a3,128,366,260,64
6bfb3670-5e46-4654-8970-ebaa9a5c6585,114,400,194,110
6e542b2a-4887-4d7a-ab6e-9373da65bea8,194,168,372,82
e380ce4f-f1e2-49e7-898d-a1c5d904c1cf,162,200,412,42
37c1a20e-509f-49ab-9fa1-479a49c6f082,170,294,314,38
ca3ca55a-ffdd-46b1-92e5-e363d7d24c9e,144,300,262,106
1ba1f903-4e07-4158-a0dc-a40d62278c1a,198,196,368,48
9926ef64-f53a-4f43-b115-8e86772fde50,186,206,322,94
77329a7e-48f0-4406-bf47-a566b8c09e54,146,220,344,98
bcd63e62-fee6-4fbe-aaf4-4e9530706973,214,172,374,46
6c6a0691-8a42-4781-9630-a806d52b8814,234,164,374,34
